年份,生源地,科类,批次,院校名称,专业名称,专业备注,最低分,最低位次,最高分,平均分
2023,上海,综合,专科批,上海中侨职业技术大学,语言类,应用英语,206,4121.0,0,215
2023,上海,综合,专科批,江西财经职业学院,财务会计类,大数据与会计,206,4121.0,0,216
2023,上海,综合,专科批,上海行健职业学院,航空装备类,飞行器数字化制造技术（飞机制造技术方向）,206,4121.0,0,218
2023,上海,综合,专科批,湖南铁道职业技术学院,轨道装备类,铁道机车车辆制造与维护（男生身高170cm）（含以上，女生身高163cm）（含以上）,206,4121.0,0,215
2023,上海,综合,专科批,成都航空职业技术学院,航空运输类,飞机机电设备维修,206,4121.0,0,220
2023,上海,综合,专科批,上海科创职业技术学院,土建施工类,建筑工程技术（办学点：松江区人民北路925号）,207,4082.0,0,214
2023,上海,综合,专科批,上海出版印刷高等专科学校,包装类,包装工程技术,207,4082.0,0,225
2023,上海,综合,专科批,上海科创职业技术学院,餐饮类,烹饪工艺与营养（办学点：松江区人民北路925号）,208,4047.0,0,213
2023,上海,综合,专科批,大庆医学高等专科学校,中医药类,中医学,208,4047.0,0,208
2023,上海,综合,专科批,四川建筑职业技术学院,土建施工类,建筑工程技术,208,4047.0,0,208
2023,上海,综合,专科批,上海中侨职业技术大学,建设工程管理类,工程造价,209,3998.0,0,236
2023,上海,综合,专科批,上海科创职业技术学院,建筑设计类,建筑装饰工程技术（办学点：松江区人民北路925号）,210,3967.0,0,217
2023,上海,综合,专科批,上海行健职业学院,计算机类,软件技术,211,3919.0,0,224
2023,上海,综合,专科批,上海思博职业技术学院,旅游类,酒店管理与数字化运营（国际品牌酒店管理方向）,212,3878.0,0,212
2023,上海,综合,专科批,上海科学技术职业学院,道路运输类,汽车检测与维修技术,214,3778.0,0,229
2023,上海,综合,专科批,上海行健职业学院,工商管理类,工商企业管理（中法合作）,214,3778.0,0,214
2023,上海,综合,专科批,上海南湖职业技术学院,电子商务类,网络营销与直播电商,214,3778.0,0,227
2023,上海,综合,专科批,上海南湖职业技术学院,健康管理与促进类,婴幼儿托育服务与管理,214,3778.0,0,226
2023,上海,综合,专科批,上海南湖职业技术学院,广播影视类,融媒体技术与运营,214,3778.0,0,225
2023,上海,综合,专科批,上海邦德职业技术学院,护理类,护理,214,3778.0,0,214
2023,上海,综合,专科批,常州信息职业技术学院,电子商务类,跨境电子商务,215,3741.0,0,215
2023,上海,综合,专科批,上海南湖职业技术学院,道路运输类,新能源汽车检测与维修技术,215,3741.0,0,223
2023,上海,综合,专科批,武汉外语外事职业学院,广播影视类,融媒体技术与运营,215,3741.0,0,215
2023,上海,综合,专科批,上海科学技术职业学院,机械设计制造类,机械制造及自动化,215,3741.0,0,227
2023,上海,综合,专科批,常州信息职业技术学院,计算机类,人工智能技术应用,217,3652.0,0,217
2023,上海,综合,专科批,上海中侨职业技术大学,旅游类,旅游管理,217,3652.0,0,218
2023,上海,综合,专科批,石家庄医学高等专科学校,临床医学类,"口腔医学（内含校企合作“德标班”,入校后考生自愿选择参加，详询院校）",218,3595.0,0,234
2023,上海,综合,专科批,上海科创职业技术学院,汽车制造类,新能源汽车技术（办学点：松江区人民北路925号）,219,3542.0,0,223
2023,上海,综合,专科批,上海南湖职业技术学院,计算机类,数字媒体技术,219,3542.0,0,232
2023,上海,综合,专科批,常州信息职业技术学院,金融类,金融科技应用,219,3542.0,0,219
2023,上海,综合,专科批,安徽医学高等专科学校,健康管理与促进类,婴幼儿托育服务与管理,220,3490.0,0,221
2023,上海,综合,专科批,上海出版印刷高等专科学校,自动化类,机电一体化技术,220,3490.0,0,230
2023,上海,综合,专科批,天津市职业大学,机械设计制造类,增材制造技术（北辰校区）,220,3490.0,0,220
2023,上海,综合,专科批,江苏海事职业技术学院,水上运输类,港口与航运管理,220,3490.0,0,221
2023,上海,综合,专科批,上海海事职业技术学院,水上运输类,港口机械与智能控制,221,3436.0,0,229
2023,上海,综合,专科批,天津市职业大学,印刷类,印刷媒体技术（北辰校区）,222,3387.0,0,230
